epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4939,1.02121,4.11683,1.05793,0.83753,0.77378,0.87846,0.62518,0.99722,3.524,1.06089,0.000662162,0.000662162,0.000662162
2,105.451,1.11787,2.01816,1.06475,0.84399,0.80463,0.89597,0.65936,0.9648,1.53171,1.06385,0.00128498,0.00128498,0.00128498
3,156.499,1.10389,1.16731,1.06233,0.75843,0.78663,0.84481,0.50854,1.35085,1.43567,1.30809,0.00186379,0.00186379,0.00186379
4,207.431,1.08904,0.85043,1.05041,0.88024,0.87404,0.94861,0.72307,0.89755,0.63842,1.02642,0.001802,0.001802,0.001802
5,258.375,1.03071,0.70091,1.03484,0.9443,0.88946,0.97281,0.7538,0.86312,0.51158,1.00996,0.001736,0.001736,0.001736
6,309.407,0.99268,0.6302,1.01738,0.89766,0.88432,0.94864,0.74628,0.82247,0.54857,0.99176,0.00167,0.00167,0.00167
7,360.262,0.95174,0.55685,0.99912,0.94856,0.94087,0.98705,0.76349,0.85165,0.37096,0.98785,0.001604,0.001604,0.001604
8,411.379,0.92554,0.51287,0.9939,0.95049,0.93767,0.98489,0.78891,0.7829,0.39303,0.96419,0.001538,0.001538,0.001538
9,462.499,0.92923,0.50752,0.99679,0.9599,0.92311,0.98013,0.80635,0.74826,0.33312,0.9573,0.001472,0.001472,0.001472
10,513.43,0.9009,0.47123,0.98623,0.96609,0.95198,0.98815,0.80352,0.73049,0.33996,0.92758,0.001406,0.001406,0.001406
11,564.362,0.88344,0.44367,0.98084,0.97611,0.94552,0.98882,0.82762,0.66634,0.27916,0.92395,0.00134,0.00134,0.00134
12,615.154,0.86313,0.43502,0.97271,0.96251,0.96915,0.98985,0.83468,0.6386,0.2627,0.90575,0.001274,0.001274,0.001274
13,666.32,0.85267,0.4288,0.9715,0.97425,0.9726,0.99232,0.82793,0.67313,0.27602,0.91095,0.001208,0.001208,0.001208
14,717.539,0.83553,0.41448,0.96644,0.95656,0.96227,0.99053,0.8341,0.62996,0.26695,0.8921,0.001142,0.001142,0.001142
15,768.307,0.81289,0.38691,0.95839,0.9737,0.9563,0.98981,0.83145,0.65997,0.27944,0.90395,0.001076,0.001076,0.001076
16,819.282,0.80676,0.38655,0.95112,0.97928,0.95116,0.99123,0.82922,0.64655,0.26298,0.91457,0.00101,0.00101,0.00101
17,870.298,0.78751,0.36694,0.94731,0.98771,0.92288,0.9832,0.84359,0.60566,0.32084,0.88843,0.000944,0.000944,0.000944
18,921.287,0.76662,0.35832,0.94364,0.96981,0.96401,0.98941,0.84907,0.60302,0.25349,0.887,0.000878,0.000878,0.000878
19,973.373,0.76374,0.34643,0.93849,0.964,0.96369,0.99083,0.8425,0.60916,0.24812,0.89047,0.000812,0.000812,0.000812
20,1025.6,0.75651,0.34428,0.93672,0.98432,0.96799,0.99349,0.85404,0.5797,0.21787,0.87993,0.000746,0.000746,0.000746
21,1104.52,0.69481,0.29996,0.89542,0.95756,0.96144,0.98725,0.84451,0.59442,0.26002,0.88408,0.00068,0.00068,0.00068
22,1155.3,0.69091,0.2927,0.89231,0.97952,0.98715,0.99311,0.84505,0.6117,0.21963,0.89025,0.000614,0.000614,0.000614
23,1207.17,0.67318,0.28857,0.8905,0.97418,0.97172,0.99256,0.85269,0.58481,0.22114,0.87411,0.000548,0.000548,0.000548
24,1258.27,0.66025,0.27429,0.88946,0.95698,0.97214,0.9912,0.8601,0.564,0.22289,0.8707,0.000482,0.000482,0.000482
25,1309.19,0.65247,0.26551,0.88394,0.98685,0.96479,0.99293,0.86551,0.56108,0.21167,0.87294,0.000416,0.000416,0.000416
26,1359.64,0.63731,0.25637,0.88253,0.96625,0.97429,0.99058,0.86005,0.5683,0.22904,0.87002,0.00035,0.00035,0.00035
27,1410.25,0.61365,0.25225,0.87694,0.95305,0.97686,0.9913,0.86278,0.54169,0.21929,0.86111,0.000284,0.000284,0.000284
28,1460.75,0.60643,0.24475,0.87495,0.97244,0.97172,0.99197,0.8697,0.53592,0.21195,0.86068,0.000218,0.000218,0.000218
29,1511.25,0.59392,0.24075,0.86307,0.96531,0.97943,0.99245,0.87132,0.52995,0.20752,0.85943,0.000152,0.000152,0.000152
30,1561.81,0.58368,0.23821,0.86515,0.97677,0.97266,0.99255,0.87245,0.53014,0.20316,0.85889,8.6e-05,8.6e-05,8.6e-05
