               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082125,            0.023473,                   0,             0.50629,             0.62982,             0.54478,             0.25287,            0.029377,            0.010656,                   0,            0.070203,           0.0033108,           0.0033108
                   1,            0.052185,            0.016089,                   0,             0.75435,             0.76571,             0.83075,             0.41142,            0.022288,           0.0078076,                   0,            0.039983,           0.0064249,           0.0064249
                   2,            0.043652,            0.012997,                   0,             0.96503,             0.92211,             0.96726,             0.61017,            0.018659,           0.0060173,                   0,           0.0095442,            0.009319,            0.009319
                   3,            0.037348,            0.011434,                   0,             0.97588,             0.94344,             0.97324,             0.43875,            0.020922,           0.0054261,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.032788,            0.010001,                   0,              0.9946,             0.94706,             0.98932,             0.49663,            0.017046,           0.0053575,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.029954,           0.0093224,                   0,             0.98672,             0.95478,             0.99078,             0.54627,            0.015851,            0.004953,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.027846,           0.0085629,                   0,             0.98418,             0.96658,               0.992,             0.72184,            0.011517,           0.0044807,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.026207,            0.008067,                   0,             0.96128,             0.95723,             0.98978,             0.78278,            0.010409,           0.0043699,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.025251,            0.007568,                   0,             0.98876,             0.96915,             0.99383,             0.75518,            0.011682,           0.0041645,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.023626,           0.0075228,                   0,             0.98823,             0.97429,             0.99318,             0.80154,           0.0093578,           0.0041745,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.022317,           0.0073242,                   0,             0.98549,             0.97943,             0.99344,             0.76329,            0.010008,           0.0041565,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.021655,           0.0068564,                   0,             0.99104,             0.98458,             0.99357,             0.79146,           0.0095186,           0.0040831,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.020722,           0.0069903,                   0,             0.98711,             0.98453,              0.9941,              0.8124,           0.0088788,           0.0038048,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.019794,           0.0068984,                   0,              0.9921,             0.96866,             0.99387,             0.81822,           0.0090161,           0.0037388,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.019572,           0.0065438,                   0,              0.9871,              0.9834,             0.99401,             0.82579,           0.0085125,           0.0037254,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.018692,           0.0065128,                   0,             0.99032,             0.98201,             0.99242,             0.75346,            0.010291,           0.0039441,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.018663,           0.0064089,                   0,             0.99343,             0.97686,             0.99334,              0.8061,           0.0086768,           0.0036675,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.018196,           0.0064765,                   0,             0.98878,             0.98972,             0.99272,             0.84707,           0.0074323,           0.0035965,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.017851,           0.0062913,                   0,             0.98652,             0.98972,             0.99375,             0.85645,           0.0073604,           0.0035126,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.016901,           0.0060897,                   0,             0.98898,             0.98972,             0.99272,             0.85721,           0.0077075,           0.0034166,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.016647,           0.0060711,                   0,             0.98712,             0.98537,             0.99302,             0.85302,            0.007522,           0.0034747,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.016294,           0.0059682,                   0,             0.98654,             0.98972,             0.99263,             0.86119,           0.0073147,           0.0034598,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.016275,           0.0060068,                   0,             0.98711,             0.98435,              0.9936,             0.86092,           0.0073434,           0.0033736,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.016009,           0.0058541,                   0,             0.98963,             0.98143,             0.99354,             0.85875,           0.0071378,           0.0034471,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.015532,           0.0057792,                   0,              0.9922,             0.98074,             0.99267,              0.8656,           0.0070494,           0.0033334,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.015191,           0.0057239,                   0,             0.99222,             0.98361,             0.99349,             0.86433,            0.007121,           0.0033382,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.015077,           0.0056908,                   0,             0.99224,             0.98636,             0.99341,             0.86874,           0.0070583,           0.0033256,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.014872,           0.0055809,                   0,             0.99222,             0.98393,             0.99304,              0.8728,           0.0068279,           0.0033169,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.014612,           0.0054781,                   0,             0.99211,             0.98201,             0.99338,             0.87444,           0.0067686,           0.0032682,                   0,             0.00109,             0.00109,             0.00109
                  29,             0.01462,           0.0054887,                   0,             0.99069,             0.98201,             0.99306,             0.87889,           0.0066321,           0.0032886,                   0,             0.00076,             0.00076,             0.00076
